type,with_opinion_extraction,summarization_model,summary,notes,input_data_file
rating2,yes,copycat,"i have been using this product for about a month now and it is still. the samsung galaxy tab power <UNK> galaxy tab 2 <UNK> galaxy <UNK> galaxy note 10.1. the laptop is not compatible with windows 7 operating system , but it does not. i would recommend this to anyone who want to spend a lot of money on. easy to use , easy to use. easy to use.i recommend this product to anyone. the sound quality of this tv is excellent , but be careful not to use. good value for the price paid , but not worth the money spent money on. the sd card is not compatible with sd cards , but they are not compatible. worked like a charm to be able to connect to my <UNK> it worked well. used to be able to charge my charge internet , but have not been able. este producto es que decir que se puede decir que decir <UNK> el precio <UNK>. excellent product for the price it is a good value for the money you pay. this is the best apple artist i have ever owned , but the touchscreen is. exactly what i expected it to be a charger for the price i paid for. the sound quality is good , but the touchscreen is not clear enough to be. there are not much to say except for the fact that it can be used. it was a gift for my daughter and she loved it , she said it. the camera takes a bit of practice to learn , but it takes great pictures. this would be a great gift for someone who like to know how to use. product arrived on time and in good condition , as described by the seller <UNK>. the ipad connector is not compatible with the <UNK> shovel , but it does not. the painting of the painting is not strong enough to be used to protect the. product arrived on time , but have not been able to charge the charge <UNK>. <UNK> is a great product for the price paid <UNK> what else can be said. what to say do not waste your money on this purchase , waste your time. good product not what i expected it to be , but for the price it. el producto llego en perfectas condiciones , sin ningun tipo de sonido , lo recomiendo. used to buy ipad a while ago but have not been able to find <UNK>. for the price you can 't go wrong with this screen protector for your ipad. used to connect to connect directly to switch from connect to switch , but have. wifi stopped working after 2 weeks of use use. not waste your money on this",maximum length sentences,dataset/rating-wise-with-opinion-extraction/rating2/rating2.csv
rating3,yes,copycat,"excellent product for the price paid cost , and the price can 't be beat <UNK> recommend. she said. purchased as a gift for a friend of his birthday present birthday gift <UNK>. original sim card installed with sim card slot for sim card and sim cards are not compatible. the processor is not compatible with windows xp pro <UNK> , it is not the correct size. powerful little mixer for the price point i would recommend it to anyone who want to buy. this is a good product , but have not used yet be able to charge the charge. the flash is much better than i expected , but for the price it cost a bit. the keyboard is a nice touch , but not the best keyboard i have ever used .. excellent product for the price of the <UNK> chargers work well with bluetooth devices. hard to find a good product that cost effective , but don 't have. do not waste your money on this product , waste your time and money , spend a. great product for the price you can 't go wrong with apple products , it works great. this is a great addition to my collection of sound , and the sound quality is great. this cable does not work as well as the original , but not worth the money spent. i would recommend this product to anyone who. product arrived on time and in good condition , packaged well packaged , easy to install ,. what else do i say , but do not know what else to say about it ,. this is a great ipad keyboard , but if you are looking for an ipad mini keyboard. this is the best product i have ever owned , have been using it for years ,. replacement sd card with no doubt be able to use the <UNK> sd card. worked great for a couple of months , then started to fail to charge the ipad ,. el producto llego en perfectas condiciones , sin problemas con el producto es que decir que decir. the memory is a bit slower than i expected it to be , but it works fine. it is exactly what i expected it to be a great product for the price i paid. expandable memory card memory card reader memory <UNK> memory <UNK> 8gb memory card 8gb memory <UNK> 4gb. used to be able to charge my own charge , but not have to. not what i need to write a review to say , but do not know what to. very easy to use and easy to use. great picture quality and picture quality.i recommend it to. easy to use and easy to use. love how easy it is to take care of the. it was not what i expected it to be , but it did not meet my expectations. it was easy to install , but the instructions are confusing to follow the instructions to make",maximum length sentences,dataset/rating-wise-with-opinion-extraction/rating3/rating3.csv
rating4,yes,copycat,"bought this laptop for my daughter 's birthday gift for her birthday gift. what to say about a screen protector , not what i expected it to. screen resolution is fine , but the screen resolution could be a bit louder. purchased purchase of this last year and have been very pleased with purchase .. este producto es de una buena calidad del producto es muy buena calidad ,. product arrived on time and in good condition , no problems encountered <UNK> ,. the design of the laptop are very nice , but i have not use. the cord is a bit shorter than i expected , but it works fine. what else can be said about a small writing book , but not. este producto es muy bueno para decir que decir que se puede decir <UNK>. the touch screen is a great touch screen protector for the price point and. easy to use , easy to understand , follow directions , follow instructions. samsung galaxy s3 is a good value for the price of the samsung <UNK>. excellent product for the price you pay for it , make sure you check. the table is beautiful , but not as beautiful as the picture shows <UNK>. i would recommend this product to anyone who want to use their tablet or. great table for the price ! i have been looking for a great table. i would recommend this product to anyone looking for a good product that. hardware. don 't waste your money on this purchase , make sure you have. what else can be said about this product ? i have been looking for. easy to use touch screen protector , easy to install and use <UNK>. this is a great ipad laptop for the price point it go <UNK>. the apple ipad book pro ipad mini ipad mini edition generation ipad mini. purchased to use with my ipad mini ipad , but have been using. easy to use , light weight and easy to carry around the house and. works great for travel with travel , but be careful not to use it. the 64 bit of scratches have been scratched up a bit of damage the. the only place to find a place on line to find one that would. beautiful color , easy to use , and the price was right on time. screen is a bit darker than expected , but still be good for",maximum length sentences,dataset/rating-wise-with-opinion-extraction/rating4/rating4.csv
rating5,yes,copycat,"battery life is better than the original battery that came with the reader <UNK> battery life. excellent product for the price of the ipad2 , but the battery life is weak and. este producto cumple con las expectativas que se puede decir que decir que se le <UNK>. arrived on time and in good condition , packaged well packaged , arrived quickly and have. screen protector is a great buy for the price of the <UNK> screen protector screen protector. the best ipad i have ever owned , i recommend it to anyone interested in. the only thing that would be better would be to be a little bit more. excellent product for the price it was worth the purchase price , i recommend it to. excelente producto de buena calidad , lo recomiendo este producto es muy buena calidad de sonido. the interfaces are designed to be used to be able to adjust the interfaces , but. great product for the price of the best deal on the market. highly recommend this product. i recommend it to anyone who want. excellent product for the price , excellent price , fast delivery service , excellent product. bought this for my daughter for christmas present for her birthday present birthday gift for her. its a good laptop for the price its not the best laptop i have ever. what else can be said to say about this product , but be aware of the. i would recommend this product to anyone who want to buy a 32 gb 32 gb. excellent product for the price paid , but not worth the money spent money on the. the sound quality of this product are excellent , but have not been able to use. perfect fit for my ipad mini ipad mini <UNK> easy to use touch screen protector <UNK>. i have been using this product for over a year now and have never been disappointed. it is a great product , i recommend it to anyone who want to protect their. she loved. great product for the price you can 't go wrong <UNK> it is worth the price. excellent product for the price you can 't go wrong buy , love it ,. i have been using ipad <UNK> for a while now and have never been disappointed. battery life is not long enough to be able to tell the difference between the. it was exactly what i expected it to be and the price was right off the",maximum length sentences,dataset/rating-wise-with-opinion-extraction/rating5/rating5.csv
all-reviews,no,huggingface," If you had the first one and moved to the 2nd one, it's worth the move . The same exact 16 gig wifi sells for about $150 less at places like Best Buy and Apple's own website . There is still no SD Slot, no Thunderbolt support however the battery still holds a charge ( I just charged mine for the first time last night)",minimum length sentences,dataset/all-reviews.csv
rating1,no,huggingface," The screen lifts off and was wiggling when I was holding it for the first time . Scratches and cracks everywhere, it has definitely been dropped, maybe a child's toy even . The speaker is blown so we have to replace it and it made for a lousy birthday . The charger they gave me is a lightning cable but the iPad takes the old school kind .",minimum length sentences,dataset/rating1.csv
rating2,no,huggingface," The iPad is extremely slow for a 32 gb (my old 16 gb at full capactity was faster) There seems to be a fault with the control button which is very unresponsive and when the screen goes off, it takes a while for it to come back on . The software is outdated and the home bottom is broken .",minimum length sentences,dataset/rating2.csv
rating3,no,huggingface, The charger that came with it was complete JUNK!! It didn't last 24 hours. Be prepared to buy another charger for this. It works but I didn't receive a charger for it like it was promised an it has 16% when I got it  an its dinged up. Just an old iPad that is old to old to work and can't be updated due to apple support .,minimum length sentences,dataset/rating3.csv
rating4,no,huggingface," If you had the first one and moved to the 2nd one, it's worth the move . The same exact 16 gig wifi sells for about $150 less at places like Best Buy and Apple's own website . It does feel speedier when loading up apps and as far as gaming goes, some like Infinity Blade and Shadow Guardian really gets a boost from the extra speed . There is still no SD Slot, no Thunderbolt support however the battery still holds a charge .",minimum length sentences,dataset/rating4.csv
rating5,no,huggingface," Shipped the same day I bought it! Looks brand new . Shipped very fast and was just like it said . Comes with nice hard case  I love it it was a cheap price and Iam glad I brought it. It does occasionally freeze,  and sometimes arbitrarily returns to the home screen . The only thing that sucks is that the charger doesn't stay in and falls out easily .",minimum length sentences,dataset/rating5.csv
how_is_display,yes,huggingface," iPad 2 is not compatible with the current operating system . iPad Air 2 does not have a calculator . The screen freezes all the time, and the camera quality is horrible . The iPad Air has a cracked screen . The tablet is everything as advertised and works as expected . The price is great and the service is great .",single summary provided by hugging face,dataset/aspect-wise-with-opinion-extraction/how_is_camera/3.csv
how_is_wireless_connection,yes,huggingface," iPad 2 is not compatible with the current operating system . Tablet works great.. amazon!. support chat box,. synced on the same cloud.. streaming,. streaming,. Good thank.. wifi only.. It takes longer to open up than my older version.. Comcast to check my wifi control button.. iPad!. watch videos stored in its small drive.. it's a good purchase.. Works great!.",single summary provided by hugging face,dataset/aspect-wise-with-opinion-extraction/how_is_wireless_connection/3.csv
how_is_battery,yes,huggingface, iPad Air 2 is a great replacement for the iPad Air and iPad Air . The camera quality of the iPad is horrible . The screen protector like the ZAGG InvisibleShield. iPad to replace anything you already have; the iPad. Glass magnetic. magnetic. requires an adapter.. Flash driven. tablets. require an adapter .,single summary provided by hugging face,dataset/aspect-wise-with-opinion-extraction/how_is_battery/3.csv
how_is_operating_system,yes,huggingface, The screen is black.. very fast delivery.. Works as expected.. very good . iPad Air 2.. backup device.. Incredibly slow machine.. it has worked perfectly . It freezes all the time.. charging system was also faulty . Service was excellent and delivery was fast and delivered as expected . No scratches on the outside .,single summary provided by hugging face,dataset/aspect-wise-with-opinion-extraction/how_is_operating_system/3.csv
how_is_processor,yes,huggingface," The iPad is a slick, entertaining device,. to replace anything you already have; the iPad or a pad of paper and pencil . iPad Air 2 was in way better condition than expected than expected and actually worked perfectly . It stopped working after a couple of month of little use .",single summary provided by hugging face,dataset/aspect-wise-with-opinion-extraction/how_is_processor/3.csv
how_is_brand,yes,huggingface," iPad 2 is not compatible with the current operating system (iOS 10) - iPad 2 not compatible . iPad 2 will not be compatible with iOS 10 . iPad for our son never puts it down . Great price, great delivery time, great service and great service . iPad is a ""note book for lyrics"" that works great .",single summary provided by hugging face,dataset/aspect-wise-with-opinion-extraction/how_is_brand/3.csv
how_is_memory,yes,huggingface," iPad 2 is not compatible with the current operating system. It works. It does run slowly. No problems with the device. No scratches, nicks, or anything.. It freezes all the time. It freezes up. It takes longer to open up than my older version.. LOCKED.. cannot update any further.. iPad!. ipad.... Works great. It's brand new and perfect,. through dropping on a hard surface .",single summary provided by hugging face,dataset/aspect-wise-with-opinion-extraction/how_is_memory/3.csv
how_is_sound,yes,huggingface, iPad Air 2 is not compatible with the current operating system (iOS 10).. its dinged up. It does run slowly. It freezes up. Won't download something's.. Battery life. everyday.. glitch.. One is clearly more superior. A+. Weak!. Ghost touches. charger cords are not compatible.. charger cords not compatible .,single summary provided by hugging face,dataset/aspect-wise-with-opinion-extraction/how_is_sound/3.csv
how_is_camera,yes,huggingface," iPad Air 2 is an extremely slow machine . It freezes all the time . It's an older model,. It stopped working after a couple of month of little use . It can't even open Safari without flickering back the the home screen . It was in way better condition than expected and actually worked .",single summary provided by hugging face,dataset/aspect-wise-with-opinion-extraction/how_is_camera/3.csv
how_is_quality_of_speaker,yes,huggingface," iPad Air 2 is not compatible with the current operating system (iOS 10).. It does run slowly. no problems with the device. It runs a little slow. Ipad 2,. Love it best tablet. It is working for what I need. It's an older model,. Works as advertised.. purfecly working.. Very nice App barely speak English. It has functioned quite well .",single summary provided by hugging face,dataset/aspect-wise-with-opinion-extraction/how_is_quality_of_speaker/3.csv
rating1,yes,huggingface, The screen is black.. Damaged without proper cable . It freezes all the time.. It can't even open Safari. Not worth the purchase. Im returning it.. out garageband app. It was a fraud.. Cannot figure out how to switch screens cannot operate it at all .,single summary provided by hugging face,dataset/rating-wise-with-opinion-extraction/rating1/rating1.csv
rating2,yes,huggingface," Apple is here to suck you dry, i really really expect better from Apple, looking for something easy and fun to use . The camera takes lousy, grainy photos.. it stopped functioning properly . The iPad is a fun toy to have around,. 20mah can't scroll in a notification form form and download a notification .",single summary provided by hugging face,dataset/rating-wise-with-opinion-extraction/rating2/rating2.csv
rating3,yes,huggingface," The screen size is too small for watching videos/live sports.. One of the ipads chargers does not charge.. THE CHARGER stopped working . The camera quality is horrible. Just save and buy a new ipad screen. Its dinged up. Just an old iPad. Its hard to see videos on it. It's used mostly to run an app for my job,. 4'...The Apple logo cuts out every time.. I am returning the defective one.",single summary provided by hugging face,dataset/rating-wise-with-opinion-extraction/rating3/rating3.csv
rating4,yes,huggingface, Tablet in excellent condition . It takes longer to open up than my older version.. as gift.. Very Quickly-. Good ipad.... everything is good. Ipad works great!!! through dropping on a hard surface.. natural lighting.. 64 GB. this works great.. Good price for a small computer.. going strong .,single summary provided by hugging face,dataset/rating-wise-with-opinion-extraction/rating4/rating4.csv
rating5,yes,huggingface," Product is awesome, excellent seller, great product.. for his birthday and is very happy with its operation . iPad looks new, works well and came in great condition to be used.. Packed safely,. worked like new.. Fast shipping!. great product - works perfect.. Arrived about a week early & I Am VERY glad I ordered it .",single summary provided by hugging face,dataset/rating-wise-with-opinion-extraction/rating5/rating5.csv
how_is_display,yes,copycat+huggingface," Product arrived on time and in good condition, works great, easy to use, good graphics . Screen is a bit darker than i expected it to be but it works great . Screen protector is not clear on the screen, but screen resolution is not as clear as the screen resolution . Sim card is a good size, but not compatible with sim card .",single summary provided by hugging face,dataset/aspect-wise-with-opinion-extraction/how_is_camera/3.csv
how_is_wireless_connection,yes,copycat+huggingface," Product arrived on time and in good condition . Sound quality is ok but i have to say that it is a good buy for the price you pay for it . Best ipad i 've ever owned , i have used it for over a year and still haven 't had any problems with it .",single summary provided by hugging face,dataset/aspect-wise-with-opinion-extraction/how_is_wireless_connection/3.csv
how_is_battery,yes,copycat+huggingface," Stand on the stand are a bit tricky to get on and off, but works great with my ipad mini <UNK> The charger arrived on time and in good condition . The only thing i don't like is the calculator function are not compatible with windows 7 . The card slot is a bit smaller than i expected, but it will be fine for the card slot .",single summary provided by hugging face,dataset/aspect-wise-with-opinion-extraction/how_is_battery/3.csv
how_is_operating_system,yes,copycat+huggingface, This is an excellent product for the price i paid for it . The screen protector arrived on time and in good condition . The data transfer rate is fast and easy access to the USB port on the ipad 2 is fast . The stand is a great addition to my ipad 360 degree rotating stand .,single summary provided by hugging face,dataset/aspect-wise-with-opinion-extraction/how_is_operating_system/3.csv
how_is_processor,yes,copycat+huggingface," This is a great ipad for the price and the sound quality is very good . The picture quality is not as good as the picture shows a picture frame . The ipads are easy to use, but they are not compatible with android phone . This is the best memory card memory cards i have ever used to be able to use my laptop .",single summary provided by hugging face,dataset/aspect-wise-with-opinion-extraction/how_is_processor/3.csv
how_is_brand,yes,copycat+huggingface," Great product for the price you get what you pay for <UNK>. ipad does not work well with the ipad , but not worth the money spent . Samsung Galaxy Tab 3 10.1 inch tablet is the best tablet i have ever owned . Best tablet i've ever owned but not compatible with. ipad is a must have .",single summary provided by hugging face,dataset/aspect-wise-with-opinion-extraction/how_is_brand/3.csv
how_is_memory,yes,copycat+huggingface," The sound quality is very good but the wireless connection to be able to connect to. easy to use <UNK> to be . easy to . use wifi connection to connect via <UNk> . The rear view finder is the best battery i 've ever owned, but battery life is fine . The sim card is a perfect fit for my rear view mirror view finders .",single summary provided by hugging face,dataset/aspect-wise-with-opinion-extraction/how_is_memory/3.csv
how_is_sound,yes,copycat+huggingface," The best ipad i 've ever used to be able to use my ipad is a bit heavy duty , but not as heavy duty as i expected . The price is. good product for the price paid, but not worth the money spent money . The best buy ever buy on line up to buy a flash drive to be .",single summary provided by hugging face,dataset/aspect-wise-with-opinion-extraction/how_is_sound/3.csv
how_is_camera,yes,copycat+huggingface, Apple products are not compatible with windows 7 android phone and android 4.0 android phone . This is a good charger but not as long as i need it to be . Bought this for my wife 's birthday gift for her birthday . She loves it. easy to set up and use it to watch videos on youtube videos to watch .,single summary provided by hugging face,dataset/aspect-wise-with-opinion-extraction/how_is_camera/3.csv
how_is_quality_of_speaker,yes,copycat+huggingface," The 9.7 inch tablet is a good value for the price , can 't beat the price . The sound quality of this product is very good but it is not easy to use . The battery life seems to be working fine but have not been able to change the battery life .",single summary provided by hugging face,dataset/aspect-wise-with-opinion-extraction/how_is_quality_of_speaker/3.csv